City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
264,Longyearbyen,SJ,78.2186,15.6401,44.44,76,40,17.27,scattered clouds
265,Luderitz,NA,-26.6481,15.1594,73.99,38,0,8.79,clear sky
266,Mayumba,GA,-3.432,10.6554,71.08,90,82,7.4,broken clouds
267,Porto Novo,BJ,6.4965,2.6036,80.42,84,99,5.03,overcast clouds
268,Bandarban,BD,22.1965,92.2262,76.26,97,100,2.71,overcast clouds
269,Perevolotskiy,RU,51.8763,54.1938,60.69,64,0,3.6,clear sky
270,Fairlie,GB,55.756,-4.8556,61.39,71,95,8.01,overcast clouds
271,Nome,US,64.5011,-165.4064,45.16,100,100,5.75,overcast clouds
272,Touros,BR,-5.1989,-35.4608,81.28,75,30,15.99,scattered clouds
273,Katobu,ID,-4.9408,122.5276,73.83,94,100,4.43,overcast clouds
274,Palmer,US,42.1584,-72.3287,74.57,84,75,6.91,broken clouds
275,Saint-Pierre,RE,-21.3393,55.4781,69.48,68,100,6.91,overcast clouds
276,Guerrero Negro,MX,27.9769,-114.0611,84.97,46,11,4.9,few clouds
277,Gatesville,US,31.4352,-97.7439,95.36,44,0,13.6,clear sky
278,Osa,RU,57.2829,55.4567,45.72,86,57,11.72,broken clouds
279,Lake Havasu City,US,34.4839,-114.3224,98.46,28,0,5.01,clear sky
280,Lavrentiya,RU,65.5833,-171.0,42.55,97,100,9.64,overcast clouds
281,Wukari,NG,7.85,9.7833,77.04,85,97,1.28,overcast clouds
282,Santos Dumont,BR,-21.4567,-43.5525,59.97,55,72,5.73,broken clouds
283,Perelyub,RU,51.8667,50.3667,65.97,61,0,6.53,clear sky
284,Bambanglipuro,ID,-7.95,110.2833,74.61,84,79,5.93,broken clouds
285,Bonavista,CA,48.6499,-53.1147,63.46,72,88,14.43,overcast clouds
286,Cairns,AU,-16.9167,145.7667,73.35,81,100,20.71,overcast clouds
287,Cumra,TR,37.5732,32.7745,68.14,55,80,4.65,broken clouds
288,Nagornyy,RU,52.7959,83.5498,55.17,83,100,15.17,overcast clouds
289,El Alto,PE,-4.2714,-81.2147,73.06,60,15,17.2,few clouds
290,Hurghada,EG,27.2574,33.8129,88.27,33,0,15.28,clear sky
291,Okhotsk,RU,59.3833,143.3,47.88,89,100,7.87,overcast clouds
292,Kruisfontein,ZA,-34.0033,24.7314,52.88,49,0,4.81,clear sky
293,Chumphon,TH,10.3333,98.8333,73.22,92,71,2.17,broken clouds
294,Mackay,AU,-21.15,149.2,60.64,60,78,18.68,broken clouds
295,Peniche,PT,39.3558,-9.3811,68.29,68,0,23.78,clear sky
296,Axim,GH,4.8699,-2.2405,78.49,82,55,5.91,broken clouds
297,Guarapari,BR,-20.6667,-40.4975,71.89,49,40,8.32,scattered clouds
298,Spirit River,CA,55.7833,-118.8361,54.03,91,97,7.99,overcast clouds
299,Elko,US,41.0002,-115.5012,87.64,15,1,7.0,clear sky
300,Puerto Del Rosario,ES,28.5004,-13.8627,74.95,69,75,19.57,broken clouds
301,Trinidad,BO,-14.8333,-64.9,84.18,48,17,9.22,few clouds
302,Tongren,CN,27.7172,109.1853,75.88,96,97,2.77,overcast clouds
303,Anloga,GH,5.7947,0.8973,79.75,81,86,9.46,overcast clouds
304,Bathsheba,BB,13.2167,-59.5167,86.61,74,40,23.02,scattered clouds
305,La Ronge,CA,55.1001,-105.2842,59.25,51,75,18.41,broken clouds
306,Zhigansk,RU,66.7697,123.3711,44.56,57,96,19.15,overcast clouds
307,Zaozerne,UA,45.1582,33.2787,68.05,87,88,13.98,overcast clouds
308,Turukhansk,RU,65.8167,87.9833,55.62,75,100,17.63,overcast clouds
309,Kumo,NG,10.0447,11.2122,80.35,61,100,3.13,overcast clouds
310,Rio Gallegos,AR,-51.6226,-69.2181,46.45,53,0,9.22,clear sky
311,Torbay,CA,47.6666,-52.7314,76.28,70,75,19.57,broken clouds
312,Buren,DE,51.55,8.5667,66.02,73,75,6.91,broken clouds
313,Talavera De La Reina,ES,39.9635,-4.8308,83.82,18,3,4.99,clear sky
314,Jablah,SY,35.3614,35.9256,75.49,78,20,6.91,few clouds
315,Salinopolis,BR,-0.6136,-47.3561,86.25,58,9,7.11,clear sky
316,Nelson Bay,AU,-32.7167,152.15,51.01,64,92,18.07,light rain
317,Camacha,PT,33.0833,-16.3333,67.42,60,20,13.8,few clouds
318,Sao Filipe,CV,14.8961,-24.4956,76.69,73,22,14.16,few clouds
319,Marsaxlokk,MT,35.8419,14.5431,87.08,51,0,6.91,clear sky
320,Rawson,AR,-43.3002,-65.1023,53.51,37,82,23.24,broken clouds
321,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,40,0,21.85,clear sky
322,Novosil,RU,52.9739,37.0405,72.73,84,48,3.78,scattered clouds
323,San Isidro,PE,-12.1167,-77.05,68.5,75,40,12.66,scattered clouds
324,Vostok,RU,46.4856,135.8833,53.67,88,99,3.8,overcast clouds
325,Poum,NC,-20.2333,164.0167,74.61,78,100,14.94,overcast clouds
326,Burgeo,CA,47.6167,-57.6152,56.03,95,92,9.64,overcast clouds
327,Along,IN,28.1667,94.7667,74.43,100,100,1.01,moderate rain
328,Cherskiy,RU,68.75,161.3,50.18,42,100,6.33,overcast clouds
329,Lingao,CN,19.9103,109.6859,82.08,79,75,5.46,broken clouds
330,Segovia,ES,41.1667,-4.0,73.44,41,33,18.01,scattered clouds
331,Thanh Hoa,VN,19.8,105.7667,82.6,83,68,3.09,broken clouds
332,Raudeberg,NO,61.9875,5.1352,61.47,76,97,4.59,overcast clouds
333,Naliya,IN,23.2667,68.8333,84.15,77,14,13.38,few clouds
334,Zyryanka,RU,65.75,150.85,51.12,70,63,5.73,broken clouds
335,High Level,CA,58.5169,-117.136,62.71,51,40,4.61,scattered clouds
336,Tongzi,CN,28.7829,105.0877,74.55,85,80,2.98,broken clouds
337,Adet,ET,11.2644,37.4888,58.39,83,86,1.5,overcast clouds
338,San Juan Del Sur,NI,11.2529,-85.8705,76.17,89,100,13.87,overcast clouds
339,Pando,UY,-34.7167,-55.95,50.4,87,100,4.61,moderate rain
340,Qaqortoq,GL,60.7167,-46.0333,44.28,76,19,7.16,few clouds
341,Itaituba,BR,-4.2761,-55.9836,95.16,38,20,5.75,few clouds
342,Trujillo,PE,-8.116,-79.03,64.36,77,20,14.97,fog
343,Pontes E Lacerda,BR,-15.2261,-59.3353,91.31,23,0,5.32,clear sky
344,Herrin,US,37.8031,-89.0276,82.0,42,20,8.05,few clouds
345,Faanui,PF,-16.4833,-151.75,80.49,69,12,18.84,few clouds
346,Sakakah,SA,29.9697,40.2064,89.17,17,0,8.39,clear sky
347,Jaque,PA,7.5175,-78.1703,78.98,85,89,6.78,moderate rain
